index,feature,importance_1,importance_2,importance_3,importance_4,importance_5,importance_6,importance_7,importance_8,importance_9,importance_10,importance_11,importance_12,avg,precision_1,recall_1,accuracy_1,f1_score_1,precision_2,recall_2,accuracy_2,f1_score_2,precision_3,recall_3,accuracy_3,f1_score_3,avg_precision,avg_recall,avg_accuracy,avg_f1_score
33,sp500_Close_RDP30,0.013027371,0.012106026,0.012198727,0.012106026,0.012664439,0.013425678,0.022237543,0.020638251,0.0216219,0.020638251,0.019588694,0.019717202,0.016664176,,,,,,,,,,,,,,,,
15,hsi_Close_RDP30,0.012281343,0.011990811,0.011828258,0.011990811,0.011792273,0.011125748,0.021643225,0.020725288,0.022229025,0.020725288,0.019639115,0.020393681,0.016363739,0.52255636,0.5582329,0.5269461,0.539805768,0.5682657,0.6184739,0.5768463,0.592307685,0.5513308,0.58232933,0.55688626,0.56640629,0.547384287,0.586345377,0.553559553,0.566173248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_index,avg_precision,avg_recall,avg_accuracy,avg_f1_score,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.575898977,0.686747,0.5934797,0.626104282,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.57703877,0.696117803,0.595475707,0.629949633,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.58965489,0.698795167,0.607451753,0.639149333,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.574477767,0.630522097,0.584165013,0.601173852,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.569114167,0.647925033,0.580838333,0.605852996,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.539898483,0.598393587,0.54757152,0.567470854,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.547384287,0.586345377,0.553559553,0.566173248,,,,,,,,,,,,,,,,,,,,,,,,,,
